Term,gen_sg,Vocab_nom_sg,Source,HISCO_majorgroup,HISCO_minorgroup,Harris_Category,Subcategory,Translation_eng
funerarius,i,,Petrikovits 1981a,5,59,Death-care sector,,mortician
funerator,oris,,Petrikovits 1981a,5,59,Death-care sector,,mortician
furnarius,i,,Petrikovits 1981a,5,53,Food-Production,,"baker, stove builder"
furnaria,ae,,Petrikovits 1981a,5,53,Food-Production,,"female baker, stove builder"
fusor,oris,,Petrikovits 1981a,7,72,Metal-Working,,"metal moulder, pourer"
gallicarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,special shoe type maker and seller
gallinarius,i,gallinarius,Waltzing - provinces,6,62,Food-Production,,a keeper of poultry
gaunacarius,i,,Petrikovits 1981a,7,75,Clothing,,furrier
gelator,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"relief maker, carver"
gemmarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"gem maker, carver"
gerdius,i,,Petrikovits 1981a,7,75,Clothing,,weaver
gerulus,i,gerulus,Waltzing - Rome,9,97,Transport,Land transport,"a carrier, porter"
gisiarius,i,gisiarius,Waltzing - provinces,9,95,Transport,Land transport,The maker / driver of a cabriolet
gladiarius,i,,Petrikovits 1981a,8,83,Metal-Working,,a sword-cutler
gladiator,oris,gladiator,Waltzing - Rome,1,17,Performing Arts,,gladiator
glutinarius,i,,Petrikovits 1981a,7,74,Miscellaneous Services,,"glue boiler, glue maker"
glutinator,oris,,Petrikovits 1981a,7,74,Miscellaneous Services,,"a gluer together of books, a bookbinder, papyrusbinder"
grabatarius,i,,Petrikovits 1981a,8,81,Household Goods,,bed maker
gupsarius,i,,Petrikovits 1981a,9,95,Building,,plaster worker
gynaeciarius,i,gynaeciarius,Waltzing - provinces,2,22,Managerial,,the overseer of a seraglio
gypsarius,i,,Petrikovits 1981a,9,95,Building,,plaster worker
gypsoplastes,ae,,Petrikovits 1981a,9,95,Building,,a worker in gypsum or stucco
harenarius,i,harenarius,Waltzing - provinces,1,17,Performing Arts,,"A combatant in the amphitheatre, a gladiator or A teacher of the elements of arithmetic"
harundinarius,i,,Petrikovits 1981a,4,43,Retail,,a dealer in limed twigs
hastifer,eris,hastifer,Waltzing - provinces,5,58,Miscellaneous Services,,city militia
hilitor,oris,,Petrikovits 1981a,6,63,Food-Production,,"gardener, vegetable gardener"
holitor,oris,,Petrikovits 1981a,6,63,Food-Production,,"gardener, vegetable gardener"
horologarius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,clockmaker
horrearius,i,horrearius,Waltzing - Rome,2,22,Managerial,,the superintendent of a storehouse
hortolanus,i,,Petrikovits 1981a,5,55,Miscellaneous Services,,gardener
hortulanus,i,,Petrikovits 1981b,5,55,Miscellaneous Services,,gardener
imaginarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,painter
impiliarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,"slipper maker, shoe maker"
inaurator,oris,inaurator,Waltzing - Rome,8,88,Metal-Working,,a gilder
inclusor auri et gemmarum,oris,inclusor,Petrikovits 1981a,8,88,Metal-Working,,"jewell maker, goldsmith"
indusiarius,i,,Petrikovits 1981a,7,79,Clothing,,a maker of women's under-garments
infector,oris,,Petrikovits 1981a,7,75,Clothing,Colour production,a dyer
inpaestator,oris,,Petrikovits 1981a,1,16,Plastic Arts,,metal figure maker
inpiliarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,"slipper maker, felt shoe maker"
inscriptor,oris,,Petrikovits 1981a,3,32,Miscellaneous Services,,"letter cutter, one who writes down"
insignarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,an engraver ?
insignitor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,an engraver
institor,oris,,Petrikovits 1981a,4,45,Retail,,"a factor, broker, huckster, hawker, peddler"
instructor,oris,,Petrikovits 1981b,9,94,Miscellaneous Services,,a preparer
instructor parietum,oris,instructor,Petrikovits 1981a,9,95,Building,,a wall preparer
interrasor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,a filigreeworker
intestinarius,i,,Petrikovits 1981a,8,82,Building,Wood worker,woodworker
intestinus,i,,Petrikovits 1981a,8,82,Building,Wood worker,woodworker
inundatoris,is,inundatoris,Waltzing - Rome,,,Unclear meaning,,unclear
isicarius,i,,Petrikovits 1981a,5,53,Food-Production,,"sausage maker, butcher"
ispeclararia,ae,,Petrikovits 1981b,8,89,Glass-Working,,window glass maker
iumentarius,i,iumentarius,Waltzing - Rome,9,97,Transport,Land transport,of or belonging to draught-cattle
jumentarius,i,jumentarius,Waltzing - Rome,9,97,Transport,Land transport,of or belonging to draught-cattle
lactarius,i,,Petrikovits 1981a,5,53,Food-Production,,food prepared with milk
lactearius,i,,Petrikovits 1981a,5,53,Food-Production,,food prepared with milk
lacunarius,i,,Petrikovits 1981a,5,59,Death-care sector,,a gravedigger
lagoenaria,ae,,Petrikovits 1981a,8,89,Household Goods,,female potter
lagunaria,ae,,Petrikovits 1981a,8,89,Household Goods,,female potter
lanarius,i,lanarius,Waltzing - provinces,7,75,Clothing,,a worker in wool
laniarius,i,,Petrikovits 1981a,5,53,Food-Production,,a butcher
lanifex,icis,,Petrikovits 1981a,7,75,Clothing,,wool worker
lanifica,ae,,Petrikovits 1981b,7,75,Clothing,,female wool-spinner
lanificus,i,,Petrikovits 1981a,7,75,Clothing,,a wool-spinner
lanifricarius,i,,Petrikovits 1981a,7,79,Household Goods,,towel maker ?
lanilotor,oris,,Petrikovits 1981a,7,75,Clothing,,wool washer
lanio,onis,,Petrikovits 1981a,7,77,Food-Production,,a butcher
lanionus,i,lanionus,Waltzing - provinces,7,77,Food-Production,,of or belonging to a butcher
lanipendia,ae,,Petrikovits 1981b,7,75,Clothing,,one who weighs out wool
lanipendius,i,,Petrikovits 1981a,7,75,Clothing,,one who weighs out wool
lanius,i,lanius,Waltzing - Rome,7,77,Food-Production,,a butcher
lanternarius,i,,Petrikovits 1981a,8,81,Household Goods,,lamp maker
lapedarius,i,,Petrikovits 1981a,8,82,Building,Stone worker,stone-cutter
lapicida,ae,,Petrikovits 1981a,7,71,Building,Stone worker,"a quarryman, stone-cutter"
lapicidinarius,i,,Petrikovits 1981a,7,71,Building,Stone worker,"a quarryman, stone-cutter"
lapidarius,i,lapidarius,Waltzing - provinces,7,71,Building,Stone worker,stone-cutter
lapidecesor,oris,,Petrikovits 1981a,7,71,Building,Stone worker,"a quarryman, stone-cutter"
lapidicaesor,oris,,Petrikovits 1981a,7,71,Building,Stone worker,"a quarryman, stone-cutter"
lapidicida,ae,,Petrikovits 1981a,7,71,Building,Stone worker,"a quarryman, stone-cutter"
laquearius,i,,Petrikovits 1981a,9,95,Building,,"one that makes panelled ceilings, a ceiling-maker"
laterarius,i,,Petrikovits 1981a,8,82,Building,,a brickmaker
latomus,i,latomus,Waltzing - provinces,9,95,Building,Stone worker,stone-cutter
lavator,oris,,Petrikovits 1981a,7,75,Clothing,,a clothes-washer
lectarius,i,,Petrikovits 1981a,8,81,Household Goods,,a couch-maker
lecticarius,i,lecticarius,Waltzing - Rome,5,53,Food-Production,,a cook
lectuarius,i,,Petrikovits 1981a,8,81,Household Goods,,a couch-maker
legulus,i,,Petrikovits 1981a,6,61,Food-Production,,"a gatherer, collector; esp. one who picked up the fallen olives"
lenuncularius,i,lenuncularius,Waltzing - Rome,9,98,Transport,Maritime/water transport,one who sails in a small vessel
levamentarius,i,levamentarius,Waltzing - Rome,9,97,Transport,Land transport,"unloader, transport worker"
libarius,i,,Petrikovits 1981a,5,53,Food-Production,,"a pastry-cook, confectioner"
libitinarius,i,,Petrikovits 1981a,5,59,Death-care sector,,"an undertaker, mortician"
librator,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,"a leveller, esp. by means of a water-level, a surveyor"
lignarius,i,lignarius,Waltzing - provinces,9,95,Building,Wood worker,"A worker in wood, a carpenter, joiner"
limarius,i,,Petrikovits 1981a,8,83,Clothing,,"file cutter, maker"
limbularius,i,,Petrikovits 1981a,7,75,Clothing,,"trims, ribbons, belts maker"
linarius,i,linarius,Waltzing - provinces,7,75,Clothing,,"a linen-weaver, dealer in linen"
lintarius,i,lintarius,Waltzing - provinces,7,75,Clothing,,"a linen-weaver, dealer in linen"
lintearius,i,lintearius,Waltzing - Rome,9,98,Transport,Maritime/water transport,"a boatman, waterman"
linteator,oris,,Petrikovits 1981a,7,75,Clothing,,"a linen-weaver, dealer in linen"
linteo,onis,,Petrikovits 1981a,7,75,Clothing,,"a linen-weaver, dealer in linen"
lintiarius,i,lintiarius,Waltzing - provinces,7,75,Clothing,,"a linen-weaver, dealer in linen"
lintio,onis,,Petrikovits 1981a,7,75,Clothing,,"a linen-weaver, dealer in linen"
lintrarius,i,lintrarius,Waltzing - Rome,9,98,Transport,Maritime/water transport,"a boatman, waterman"
linyfarius,i,,Petrikovits 1981a,7,75,Clothing,,linen weaver
linyfio,onis,,Petrikovits 1981a,7,75,Clothing,,linen weaver
linyfus,i,,Petrikovits 1981a,7,75,Clothing,,linen weaver
linypharius,i,,Petrikovits 1981b,7,75,Clothing,,linen weaver
linyphus,i,,Petrikovits 1981b,7,75,Clothing,,linen weaver
lithotomos,i,,Petrikovits 1981a,9,95,Building,,"stone cutter, Greek"
liticinus,i,liticinus,Waltzing - Rome,1,17,Performing Arts,,a player on the clarion
locularius,i,,Petrikovits 1981a,5,59,Death-care sector,,"casket maker, coffin maker"
loclarius,i,,Petrikovits 1981a,5,59,Death-care sector,,"casket maker, coffin maker"
lorarius,i,,Petrikovits 1981a,8,80,Miscellaneous Services,Military,a harness-maker
loricarius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,Military,"maker of lorica, cuirass"
lotor,oris,,Petrikovits 1981a,7,75,Clothing,,a clothes-washer
lotorus,i,lotorus,Waltzing - provinces,7,75,Clothing,,"fuller, clening wool"
lucernarius,i,,Petrikovits 1981a,9,94,Household Goods,,lamp maker
lupinarius,i,lupinarius,Waltzing - Rome,4,43,Food-Retail,,dealers in lupines
lusorius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
lyntrarius,i,lyntrarius,Waltzing - provinces,9,95,Transport,Maritime/water transport,raft-maker
macellarius,i,macellarius,Waltzing - provinces,7,77,Food-Production,,butcher
machinarius,i,,Petrikovits 1981a,9,95,Building,,"a machinist, machine-builder,"
machinator,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,"a maker of machines, a machinist, an engineer, architect"
machio,onis,,Petrikovits 1981a,9,95,Building,Stone worker,mason
magira,ae,,Petrikovits 1981a,5,53,Food-Production,,cook
magnarius,i,magnarius,Waltzing - Rome,4,43,Retail,,"a dealer in gross, wholesale dealer"
malleator,oris,,Petrikovits 1981a,8,83,Miscellaneous Services,,"worker with hammer, coinstrucker"
malliator,oris,,Petrikovits 1981a,8,83,Miscellaneous Services,,"worker with hammer, coinstrucker"
manciparius,i,manciparius,Waltzing - Rome,4,45,Retail,,salesman
manceps salinarum,ipis,manceps,Waltzing - Rome,2,21,Managerial,,"salt shops managers,  purchaser of any thing at a public auction, a renter, farmer, contractor, etc. "
manceps thermarum,ipis,manceps,Waltzing - Rome,2,21,Managerial,,"bath managers,  purchaser of any thing at a public auction, a renter, farmer, contractor, etc. "
manicarius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,,"manufacturers of manicae, bangages for gladiator sword"
manticularius,i,manticularius,Waltzing - provinces,7,79,Clothing,,"manufacturer of a small wallet, purse, pouch"
manulearius,i,,Petrikovits 1981a,7,79,Clothing,,a manufacturer of garments with long sleeves
manupretiarius,i,,Petrikovits 1981a,9,99,Unclear meaning,,"uncertain, unspecified worker, for hourly wage"
margaritarius,i,,Petrikovits 1981a,4,43,Retail,,"a dealer in pearls, a pearl-fisher"
marmarius,i,,Petrikovits 1981a,9,95,Building,Stone worker,marble worker
marmorarienses,ae,,Petrikovits 1981a,9,95,Building,Stone worker,marble worker
marmorarius,i,marmorarius,Waltzing - Rome,9,95,Building,Stone worker,marble worker
massarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"unclear, maybe metal-worker"
materiarius,i,,Petrikovits 1981a,9,95,Building,Wood worker,wood-worker
medicamentarius,i,,Petrikovits 1981a,0,6,Miscellaneous Services,,"a druggist, apothecary"
medicator,oris,medicator,Waltzing - provinces,0,6,Miscellaneous Services,,a physician
medicus,i,medicus,Waltzing - Rome,0,6,Miscellaneous Services,,a surgeon
membranarius,i,,Petrikovits 1981a,7,73,Miscellaneous Services,,a parchment-maker
mensor,oris,mensor,Waltzing - Rome,0,2,Miscellaneous Services,,"a measurer, surveyor"
sonarius,i,,Petrikovits 1981a,7,75,Clothing,,belt maker
mercator,oris,mercator,Waltzing - Rome,4,45,Retail,,trader
mesor,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,"a measurer, surveyor"
metallarius,i,metallarius,Waltzing - provinces,7,71,Fuel / Raw material,,"a man or a woman that works in a mine, a miner"
metallicus,i,,Petrikovits 1981a,7,71,Fuel / Raw material,,"a man or a woman that works in a mine, a miner"
metator,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,"one who marks off, fixer of boundaries, surveyor"
mimus,i,mimus,Waltzing - Rome,1,17,Performing Arts,,mime
miniarius,i,,Petrikovits 1981a,7,71,Fuel / Raw material,,a cinnabar miner (mineral) for dying
molator,oris,,Petrikovits 1981a,6,61,Food-Production,,miller
molendarius,i,molendarius,Waltzing - Rome,6,61,Food-Production,,miller
molendinarius,i,,Petrikovits 1981a,6,61,Food-Production,,worker in a mill
molinarius,i,,Petrikovits 1981a,6,61,Food-Production,,miller
molitor,oris,,Petrikovits 1981a,6,61,Food-Production,,miller
molochinarius,i,,Petrikovits 1981a,7,79,Clothing,,A seller of mallow colored garments
molocinarius,i,,Petrikovits 1981a,7,79,Clothing,,A seller of mallow colored garments
monetarius,i,monetarius,Waltzing - Rome,3,31,Finance,,a master of the mint
montanarius,i,,Petrikovits 1981a,5,59,Death-care sector,,grave digger
moritex,icis,,Petrikovits 1981a,,,Unclear meaning,,unclear
mulionus,i,mulionus,Waltzing - provinces,9,98,Transport,Land transport,of a mule-driver
multiciarius,i,,Petrikovits 1981a,7,79,Clothing,,"a soft dress, delicate garment seller"
murilegulus,i,murilegulus,Waltzing - provinces,7,75,Clothing,Colour production,one who gathers or fishes for the purple-fish
murobatharius,i,,Petrikovits 1981a,4,45,Retail,,"unclear, possible dealer with luxury items"
musarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
museiarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
musaearius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
musivarius,i,,Petrikovits 1981a,,,Unclear meaning,,unclear
myrepsicus,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,manufacturer of ointments and oils
myrrepsius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,manufacturer of ointments and oils
nauclerus,i,nauclerus,Waltzing - provinces,0,4,Transport,Maritime/water transport,"a shipowner, a ship-master, skipper"
naupegiarius,i,,Petrikovits 1981a,9,95,Transport,Maritime/water transport,"a shipbuilder, shipwright, ship-carpenter"
naupegus,i,,Petrikovits 1981a,9,95,Transport,Maritime/water transport,"a shipbuilder, shipwright, ship-carpenter"
nauta,ae,nauta,Waltzing - Rome,9,98,Transport,Maritime/water transport,"a sailor, seaman, mariner, merchant"
nauticarius,i,nauticarius,Waltzing - Rome,0,4,Transport,Maritime/water transport,a shipmaster
navalis,is,,Petrikovits 1981a,9,98,Transport,Maritime/water transport,"sailors, seamen"
navicularius,i,navicularius,Waltzing - Rome,0,4,Transport,Maritime/water transport,"a ship-owner who hires out vessels for money, a ship-master, merchant"
nauicularius,i,nauicularius,Waltzing - Rome,0,4,Transport,Maritime/water transport,"a ship-owner who hires out vessels for money, a ship-master, merchant"
navigans,ntis,navigans,Waltzing - Rome,9,98,Transport,Maritime/water transport,one who sails in a small vessel
navigator,oris,navigator,Waltzing - Rome,9,98,Transport,Maritime/water transport,sailor
navigiarius,i,navigiarius,Waltzing - Rome,9,98,Transport,Maritime/water transport,one who sails in a small vessel
negotians,ntis,negotians,Waltzing - Rome,4,45,Retail,,trader
negotiator,oris,negotiator,Waltzing - Rome,4,43,Retail,,"one who does business by wholesale, a wholesale dealer, a banker, a factor"
netrix,icis,,Petrikovits 1981a,8,88,Metal-Working,,female gold weaver
nitionus,i,nitionus,Waltzing - provinces,6,61,Food-Production,,tax-farmer
nummularius,i,nummularius,Waltzing - Rome,3,33,Finance,,a money-changer
numularius,i,,Petrikovits 1981a,3,33,Finance,,a money-changer
oculariarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"artisan, glass eye maker for statues"
offarius,i,,Petrikovits 1981a,5,53,Food-Production,,"dealing with morsels: cocus, a maker of minced meat "
offector,oris,,Petrikovits 1981a,7,75,Clothing,Colour production,dyer
offectorus,i,offectorus,Waltzing - provinces,7,75,Clothing,Colour production,dye maker
officinator,oris,,Petrikovits 1981a,5,51,Miscellaneous Services,,"one who keeps a workshop, a master-workman, an artificer, artist"
officinatrix,icis,,Petrikovits 1981a,5,51,Miscellaneous Services,,"female one who keeps a workshop, a master-workman, an artificer, artist"
olarius,i,,Petrikovits 1981a,8,89,Household Goods,,potter
oleareus,i,,Petrikovits 1981a,6,61,Food-Production,,"oil-maker, olive oil dealer"
olearius,i,olearius,Waltzing - Rome,6,61,Food-Production,,"oil-maker, olive oil dealer"
olitor,oris,olitor,Waltzing - provinces,6,63,Food-Production,,a kitchen-gardener
ollarius,i,,Petrikovts 1981b,8,89,Household Goods,,potter
operarius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,"a laborer, workman, operative"
opifex,icis,opifex,Waltzing - provinces,0,2,Building,,"a worker, workman, mechanic, artisan"
orchestopolarius,i,orchestopolarius,Waltzing - provinces,1,17,Performing Arts,,"a juggler, dancer"
ornator,oris,,Petrikovits 1981a,5,54,Miscellaneous Services,,"An adorner, dresser"
ornatrix,icis,,Petrikovits 1981a,5,54,Miscellaneous Services,,"female adorner, dresser"
paenularius,i,,Petrikovits 1981a,7,79,Clothing,,cloak or mantle maker and seller
palangarius,i,palangarius,Waltzing - Rome,5,53,Food-Retail,,wine bearer
palariacus,i,,Petrikovits 1981a,,,Unclear meaning,,unclear
panarius,i,,Petrikovits 1981a,4,45,Food-Retail,,a bread-seller
panchrestiarius,i,,Petrikovits 1981a,5,53,Food-Production,,a confectioner
pancrestarius,i,,Petrikovits 1981a,5,53,Food-Production,,a confectioner
panifex,icis,,Petrikovits 1981a,5,53,Food-Production,,"a breadmaker, baker"
panificus,i,,Petrikovits 1981a,5,53,Food-Production,,"a breadmaker, baker"
pantapolus,i,pantapolus,Waltzing - Rome,4,45,Retail,,greek trader
pantomimus,i,pantomimus,Waltzing - provinces,1,17,Performing Arts,,a ballet-dancer
parabolanus,i,parabolanus,Waltzing - provinces,0,6,Miscellaneous Services,,a sick-nurse
paracharactes,ae,,Petrikovits 1981a,3,39,Finance,,"counterfeiter, forger"
parasitus,i,parasitus,Waltzing - provinces,1,17,Performing Arts,,"a player, actor"
parietarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,a painter
parmaluraius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,Military,small shield maker
pastilarius,i,pastilarius,Waltzing - Rome,5,53,Food-Production,,a maker of pastils
pastillarius,i,,Petrikovits 1981a,5,53,Food-Production,,a maker of pastils
patagiarius,i,,Petrikovits 1981a,7,79,Clothing,,a boler-maker (a gold edging or border on a Roman lady's tunic)
pausarius,i,pausarius,Waltzing - Rome,3,33,Finance,,"A money-changer, banker"
pavimentarius,i,pavimentarius,Waltzing - Rome,9,95,Building,Stone worker,a maker of pavements
pectenarius,i,,Petrikovits 1981a,8,81,Household Goods,,a combmaker
pectinarius,i,,Petrikovits 1981a,8,81,Household Goods,,a combmaker
pectinator,oris,,Petrikovits 1981a,8,81,Household Goods,,a combmaker
pecuarius,i,pecuarius,Waltzing - Rome,6,62,Food-Production,,"sheep, cattle breader"
pellarius,i,,Petrikovits 1981a,7,76,Clothing,,"one that prepares skins, a furrier"
pellio,onis,,Petrikovits 1981a,7,76,Clothing,,"one that prepares skins, a furrier"
pellionarius,i,pellionarius,Waltzing - Rome,7,76,Clothing,,one who prepared skins for the use of soldiers
peponarius,i,peponarius,Waltzing - Rome,4,45,Food-Retail,,melon seller
pequarius,i,pequarius,Waltzing - Rome,6,62,Food-Production,,"sheep, cattle breader"
perfector,oris,,Petrikovits 1981a,,,Unclear meaning,,unclear
pernarius,i,,Petrikovits 1981a,4,45,Food-Retail,,a ham-seller
perpendiculator,oris,,Petrikovits 1981a,9,95,Building,,"an artisan who uses a plumb-line, a stonemason"
personarius,i,,Petrikovits 1981b,8,88,Miscellaneous Services,,mask maker
pharmacopola,ae,pharmacopola,Waltzing - provinces,4,43,Retail,,"a drugseller, quack"
phrygio,onis,,Petrikovits 1981a,8,88,Metal-Working,,goldsticker
picarius,i,,Petrikovits 1981a,7,74,Fuel / Raw material,,pitch (resin) boiler
pictor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,painter
pigmentarius,i,pigmentarius,Waltzing - Rome,4,43,Retail,,dye seller
pincerna,ae,,Petrikovits 1981a,5,53,Miscellaneous Services,,cupbearer
pinctor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,painter
piscator,oris,piscator,Waltzing - Rome,6,64,Food-Production,,"a fisherman, fisher"
piscicapus,i,piscicapus,Waltzing - provinces,6,64,Food-Production,,a fish-catcher
pisticarius,i,,Petrikovits 1981a,5,53,Food-Production,,baker
pistor,oris,pistor,Waltzing - Rome,6,61,Food-Production,,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
pistrinarius,i,,Petrikovits 1981b,6,61,Food-Production,,"the manager of a pounding-mill, a miller"
pistur,uris,,Petrikovits 1981a,6,61,Food-Production,,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
pistrix,icis,,Petrikovits 1981a,5,53,Food-Production,,female baker
placentarius,i,,Petrikovits 1981a,5,53,Food-Production,,a pastry-cook
plasta,ae,,Petrikovits 1981a,1,16,Plastic Arts,,"a moulder, potter, modeller, statuary"
plastes,ae,,Petrikovits 1981a,1,16,Plastic Arts,,"a moulder, potter, modeller, statuary"
plasticator,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"a moulder, potter, modeller, statuary"
plasticus,i,,Petrikovits 1981a,1,16,Plastic Arts,,"a moulder, potter, modeller, statuary"
plaustrarius,i,,Petrikovits 1981a,9,97,Transport,Land transport,"a vehicle for freight, wagon, wain, cart maker"
plicatrix,icis,,Petrikovits 1981a,7,79,Clothing,,"female dress maker, tailor"
plombarius,i,,Petrikovits 1981a,8,87,Metal-Working,,"a plumber, lead worker"
plostrarius,i,,Petrikovits 1981a,9,97,Transport,Land transport,"a vehicle for freight, wagon, wain, cart maker"
plumarius,i,plumarius,Waltzing - Rome,7,79,Household Goods,,an embroiderer
plumbarius,i,,Petrikovits 1981a,8,87,Metal-Working,,"a plumber, lead worker"
plutearius,i,,Petrikovits 1981a,9,95,Building,,a maker of balustrades
plutiarius,i,,Petrikovits 1981a,9,95,Building,,a maker of balustrades
poeta,ae,poeta,Waltzing - Rome,1,17,Performing Arts,,a poet
polio,onis,,Petrikovits 1981a,5,56,Miscellaneous Services,,"a cultivator, improver, a polisher"
politor,oris,,Petrikovits 1981a,5,56,Miscellaneous Services,,"a cultivator, improver, a polisher"
pollictor,oris,,Petrikovits 1981a,5,59,Death-care sector,,corpse washer and preparer
pollinctor,oris,,Petrikovits 1981a,5,59,Death-care sector,,corpse washer and preparer
pollio,onis,,Petrikovits 1981a,5,56,Miscellaneous Services,,"a cultivator, improver, a polisher"
polymitarius,i,,Petrikovits 1981a,7,75,Clothing,,a damask-weaver
pomarius,i,pomarius,Waltzing - provinces,4,45,Food-Retail,,"of fruit, of fruittrees seller"
popinarius,i,,Petrikovits 1981a,5,53,Food-Retail,,"a cook-shop, eatinghouse, low tavern owner"
popinator,oris,,Petrikovits 1981a,5,53,Food-Retail,,"a cook-shop, eatinghouse, low tavern owner"
porcinarius,i,porcinarius,Waltzing - Rome,6,62,Food-Production,,pig breader
possessor,oris,possessor,Waltzing - provinces,2,22,Managerial,,"a possessor, owner"
professor,oris,professor,Waltzing - provinces,1,13,Education,,a public teacher
promus,i,,Petrikovits 1981a,5,53,Miscellaneous Services,,"a cellarer, steward, butler"
propola,ae,propola,Waltzing - provinces,4,45,Retail,,"a forestaller, retailer, huckster"
prosmonus,i,,Petrikovits 1981a,,,Unclear meaning,,unclear
prossaria,ae,,Petrikovits 1981a,7,75,Clothing,,woolen fabrics maker
psaltes,ae,psaltes,Waltzing - Rome,1,17,Performing Arts,,cithara player
psecas,adis,,Petrikovits 1981a,5,57,Miscellaneous Services,,a female slave who perfumed her mistress's hair
pugillariarius,i,,Petrikovits 1981a,7,73,Miscellaneous Services,,maker of small writing boards
purpurarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,purple colour dyer
putearius,i,,Petrikovits 1981a,9,95,Building,,a well-digger
quadratarius,i,,Petrikovits 1981a,9,95,Building,Stone worker,stonemason
quadratatorius,i,,Petrikovits 1981a,9,95,Building,Stone worker,stonemason
quadrigularius,i,,Petrikovits 1981a,1,16,Plastic Arts,,a painter
quasillaria,ae,,Petrikovits 1981a,7,75,Clothing,,"a basketwench, spinning-girl"
raedarius,i,,Petrikovits 1981a,3,36,Transport,Land transport,"a coachman, driver of a raeda"
ratiarius,i,ratiarius,Waltzing - provinces,9,98,Transport,Maritime/water transport,"a raftsman, lighterman"
redemptor,oris,,Petrikovits 1981a,5,53,Food-Production,,"a miller, bread-maker, baker"
refector pectinarius,oris,refector,Petrikovits 1981a,8,81,Household Goods,,"a restorer, repairer of combs"
resinaria,ae,,Petrikovits 1981a,7,74,Fuel / Raw material,,female resin maker
restiarius,i,,Petrikovits 1981a,4,43,Retail,,"A ropemaker, rope-seller"
resticularius,i,,Petrikovits 1981a,4,43,Retail,,"A ropemaker, rope-seller"
restio,onis,restio,Waltzing - Rome,4,43,Retail,,"A ropemaker, rope-seller"
retiarius,i,retiarius,Waltzing - provinces,1,17,Performing Arts,,"a gladiator who used a net to entangle his adversary, net-fighter"
retifex,icis,,Petrikovits 1981a,7,79,Miscellaneous Services,,a netmaker
rhedarius,i,,Petrikovits 1981a,3,36,Transport,Land transport,"a coachman, driver of a raeda"
rhypararographus,i,,Petrikovits 1981a,1,16,Plastic Arts,,a painter
rosarius,i,rosarius,Waltzing - Rome,4,43,Retail,,seller of roses
saburrarius,i,saburrarius,Waltzing - Rome,9,97,Transport,Maritime/water transport,one who carries ballast to ships
sacarius,i,,Petrikovits 1981a,9,97,Transport,Land transport,"one who carries sacks, sack maker"
saccarius,i,saccarius,Waltzing - Rome,9,97,Transport,Land transport,"one who carries sacks, sack maker"
sacomarius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,,one who makes counterpoises or weights 
sagarius,i,sagarius,Waltzing - Rome,4,43,Retail,,a dealer in mantles
sagittarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"arrow-makers, arrow-smiths"
sagmarius,i,,Petrikovits 1981a,8,80,Transport,Land transport,manufacturer of pack animal saddles
salarius,i,salarius,Waltzing - Rome,4,43,Retail,,"salt maker, dealer"
salgamarius,i,,Petrikovits 1981a,4,43,Food-Production,,one who makes or sells pickles
salinator,oris,salinator,Waltzing - provinces,4,45,Food-Retail,,a dealer in salt
salsamentarius,i,,Petrikovits 1981a,4,45,Food-Retail,,a dealer in salted fish
samiarius,i,,Petrikovits 1981a,5,55,Miscellaneous Services,,"a polisher, grinder"
